馬名,場名,種別,距離,回り,天候,馬場,枠番,馬番,性別,年齢,斤量,馬体重,増減
ビップデイジー,京都,G1,1600,右,曇,良,1,1,牝,2,55,436,-2
テリオスララ,京都,G1,1600,右,曇,良,1,2,牝,2,55,486,-10
ダンツエラン,京都,G1,1600,右,曇,良,2,3,牝,2,55,482,-4
ジャルディニエ,京都,G1,1600,右,曇,良,2,4,牝,2,55,450,-4
ジューンエオス,京都,G1,1600,右,曇,良,3,5,牝,2,55,486,+8
モズナナスター,京都,G1,1600,右,曇,良,3,6,牝,2,55,448,0
ミストレス,京都,G1,1600,右,曇,良,4,7,牝,2,55,492,-4
カワキタマナレア,京都,G1,1600,右,曇,良,4,8,牝,2,55,430,+6
ショウナンザドゥ,京都,G1,1600,右,曇,良,5,9,牝,2,55,438,0
ブラウンラチェット,京都,G1,1600,右,曇,良,5,10,牝,2,55,428,-12
クリノメイ,京都,G1,1600,右,曇,良,6,11,牝,2,55,448,+4
アルマヴェローチェ,京都,G1,1600,右,曇,良,6,12,牝,2,55,484,0
コートアリシアン,京都,G1,1600,右,曇,良,7,13,牝,2,55,442,+8
ランフォーヴァウ,京都,G1,1600,右,曇,良,7,14,牝,2,55,448,-2
リリーフィールド,京都,G1,1600,右,曇,良,7,15,牝,2,55,434,+6
スリールミニョン,京都,G1,1600,右,曇,良,8,16,牝,2,55,434,+2
メイデイレディ,京都,G1,1600,右,曇,良,8,17,牝,2,55,456,0
ミーントゥビー,京都,G1,1600,右,曇,良,8,18,牝,2,55,442,+8

